object1,object2,morph1,morph2,comments,stage,u_app_1,g_app_1,r_app_1,i_app_1,z_app_1,u_app_2,g_app_2,r_app_2,i_app_2,z_app_2,u_app_err_1,g_app_err_1,r_app_err_1,i_app_err_1,z_app_err_1,u_app_err_2,g_app_err_2,r_app_err_2,i_app_err_2,z_app_err_2,u_abs_1,g_abs_1,r_abs_1,i_abs_1,z_abs_1,u_abs_2,g_abs_2,r_abs_2,i_abs_2,z_abs_2,plate1,mjd1,fiberid1,plate2,mjd2,fiberid2,specz1,specz2,photoz1,photoz2,ra1,ra2,dec1,dec2,vote1,vote2,kmass1,kmass2,kmass_err1,kmass_err2
587722982820413452,587722982820413440,e,s,,2,18.2563,16.3206,15.4709,15.0576,14.7233,18.8505,18.4817,18.3491,18.1734,18.1372,0.0218852,0.00339422,0.00278783,0.0028065,0.00497359,0.019745,0.00766813,0.00818833,0.00951508,0.0279682,-17.6693,-19.548,-20.2928,-20.6726,-20.9977,-7.2328,-7.56786,-7.67623,-7.83563,-7.85767,293,51994,104,-9999,-9999,-9999,0.0467913,-9999.0,0.0435924,5.18866E-4,195.01579,195.01257,-0.3709543,-0.37340826,0.416488,-9999.0,10.9598,8.87103,0.0399995,0.032769
587722982838436142,587722982838436096,s,s,,2,18.9535,18.0373,17.6651,17.3491,17.2848,18.593,17.372,16.7664,16.3867,16.1756,0.0389603,0.00876552,0.00902098,0.00970989,0.032493,0.0282038,0.0054768,0.00482726,0.00492194,0.0131198,-17.044,-17.7169,-18.0384,-18.1907,-18.2122,-19.6751,-20.719,-21.1967,-21.3776,-21.4633,342,51691,267,-9999,-9999,-9999,0.0740866,-9999.0,0.0383916,0.102375,236.16632,236.16302,-0.41877106,-0.41815382,0.804676,-9999.0,9.79421,10.3397,0.0380971,0.0408582
587722982842433595,587722982842433536,s,s,,2,18.2882,17.0396,16.4748,16.1503,15.9282,17.8102,17.0151,16.3376,15.9687,15.7647,0.0321356,0.00605206,0.00537881,0.0058468,0.0153661,0.0156628,0.00456767,0.00392886,0.0038935,0.00909975,-17.4746,-18.4735,-18.9285,-19.1223,-19.2186,-22.2575,-23.1612,-23.5383,-23.6482,-23.774,346,51693,65,-9999,-9999,-9999,0.0452573,-9999.0,0.0327413,0.221378,245.29564,245.29424,-0.39669478,-0.39730024,0.861398,-9999.0,10.0494,10.5275,0.0471994,0.03493
587722982842630917,587722982842630912,s,s,,2,20.3954,18.466,17.4661,16.9708,16.6144,22.5618,20.0285,18.9094,18.473,18.0529,0.103996,0.00876081,0.00594539,0.00574433,0.0134008,0.627461,0.0354259,0.0193003,0.0189573,0.0560326,-18.521,-20.2612,-20.9465,-21.3188,-21.5885,-16.1481,-18.4595,-19.2503,-19.5849,-19.9228,364,52000,233,-9999,-9999,-9999,0.0923454,-9999.0,0.122444,0.110469,245.87302,245.87212,-0.36460844,-0.36512223,0.528685,-9999.0,10.6638,10.2021,0.0450405,0.0694547
587722982843613716,587722982843613696,s,s,,2,19.6781,18.0908,17.2376,16.7336,16.3748,19.6075,18.6644,18.2893,17.9761,17.8014,0.0634448,0.00785542,0.0057641,0.00554021,0.0132239,0.0576653,0.0124715,0.0126255,0.0176808,0.0479892,-19.1827,-20.6043,-21.1937,-21.555,-21.8156,-16.4781,-17.178,-17.5078,-17.6528,-17.7898,348,51696,309,-9999,-9999,-9999,0.091636,-9999.0,0.123426,0.040124,248.01295,248.01289,-0.26182222,-0.26422489,0.574024,-9999.0,10.6292,9.74953,0.0473328,0.0391302
587722982843745198,587722982843745152,e,e,,2,19.3317,17.3703,16.424,15.9568,15.5974,20.5702,18.5928,17.6466,17.1993,16.7091,0.0446334,0.00535403,0.00394718,0.00390637,0.00799575,0.14122,0.01261,0.00854523,0.00860862,0.01943,-17.8867,-19.6615,-20.3939,-20.767,-21.0744,-16.0407,-17.8527,-18.6059,-18.9676,-19.4056,348,51696,239,-9999,-9999,-9999,0.0702123,-9999.0,0.0630264,0.0494017,248.41359,248.41452,-0.21559301,-0.21841532,0.809227,-9999.0,10.8138,10.2457,0.0467063,0.078013
587722983346274345,587722983346274304,e,s,,2,19.1805,17.2008,16.1838,15.7036,15.309,21.8979,19.5503,18.747,18.2956,18.0049,0.0559638,0.00537766,0.00378834,0.00365989,0.0084866,0.270546,0.0166449,0.0114752,0.0113326,0.0334529,-19.6102,-21.4251,-22.129,-22.5285,-22.8654,-12.7765,-15.0628,-15.7764,-16.1929,-16.4583,279,51608,591,-9999,-9999,-9999,0.0729559,-9999.0,0.123748,0.024625,169.96622,169.96622,0.071827717,0.070456773,0.511885,-9999.0,11.0347,9.96626,0.0483754,0.0637653
587722983366262870,587722983366262912,s,s,,2,17.2028,15.8771,15.0265,14.5518,14.1882,18.1759,17.3523,17.0599,16.6202,16.5939,0.0146999,0.00303484,0.00253973,0.00255334,0.00490999,0.0174221,0.00473736,0.00510965,0.00518006,0.0158104,-22.2237,-23.5622,-24.1235,-24.4638,-24.7455,-19.2689,-19.9376,-20.2252,-20.4634,-20.5127,304,51609,492,-9999,-9999,-9999,0.0316585,-9999.0,0.175537,0.0825923,215.6151,215.61264,0.059047092,0.057730857,0.739194,-9999.0,10.7692,9.28621,0.0305625,0.0430374
587722983370653836,587722983370653824,s,s,,2,19.236,17.5977,17.2138,16.5932,16.34,18.7276,17.7275,16.4397,16.1767,15.9502,0.0527711,0.0067357,0.00704707,0.00616965,0.0179782,0.0206337,0.00545548,0.00397369,0.00422364,0.00833496,-18.4189,-19.9048,-20.2018,-20.6712,-20.8065,-22.4036,-23.7486,-24.4611,-24.5498,-24.5268,310,51990,475,-9999,-9999,-9999,0.0861315,-9999.0,0.0845228,0.333517,225.62479,225.62415,0.12735072,0.12823687,0.68957,-9999.0,10.4035,11.0236,0.0524996,0.0380964
587722983372751055,587722983372751104,e,e,,2,18.9937,17.1123,16.0817,15.6035,15.224,19.5187,17.569,16.4975,16.0217,15.6463,0.0407524,0.00494164,0.00360219,0.00352157,0.007677,0.0523063,0.00583504,0.00412719,0.00402502,0.00889525,-19.981,-21.6919,-22.3963,-22.7681,-23.0757,-19.4268,-21.1905,-21.9276,-22.3028,-22.6064,313,51673,356,312,51689,631,0.0761707,0.0761025,0.129015,0.126218,230.35129,230.35155,0.11414887,0.11711958,0.587228,0.670135,11.1446,11.1093,0.0473059,0.0413818
