objid,ra,dec,length_avg,length_stdev,width_avg,width_stdev,length_scaled,bar_meas
587725470666195210,122.34886,45.489283,13.314018,1.2882532,2.2641623,0.68432675,0.48266456,3
587725470666850580,123.80689,46.720386,16.924552,3.3794406,4.5015328,2.0882088,0.62465984,6
587725471203328190,122.52286,46.193029,6.9959787,0.90322608,1.2543605,0.57467388,0.25293278,5
587725471206998181,130.67403,52.746324,13.945269,1.8722751,4.0148882,1.1531254,0.4682912,4
587725471208112379,133.69814,54.576115,11.560741,1.702025,4.3285025,2.670284,0.44775774,3
587725471209357423,137.31694,56.595039,3.7489339,0.2965158,0.84307459,0.47331992,0.28506577,3
587725471210733719,141.96013,58.542829,5.3226421,1.3796191,1.6526702,0.79834115,0.25846817,3
587725471211651227,144.90826,59.791257,11.661887,0.81013698,3.3207416,1.3836111,0.35644852,6
587725474420097049,161.65356,63.224239,3.4113338,0.68072907,0.46458018,0.077233531,0.43081161,4
587725550128136347,136.65152,56.61815,9.5321644,0.84338139,2.5701468,0.7078259,0.50574654,5
587725550659633214,123.107,47.542579,7.8240328,1.9379892,2.8674855,1.1020366,0.26844139,4
587725550663827499,132.83186,54.942015,12.501823,0.99181283,3.5792355,2.0729376,0.62302082,3
587725551193227296,116.9303,41.386376,7.7162176,0.74790682,2.0716334,0.68438109,0.52075824,6
587725551194538160,119.063,44.038879,14.183084,1.8455775,3.1225701,0.70367303,0.62083512,4
587725551199322263,128.72213,52.804291,7.5826637,0.95715503,1.5184645,0.5134053,0.43152638,4
587725551199780967,129.80401,53.623514,9.6939599,0.48558449,1.8143218,0.45778187,0.40170885,3
587725551199977587,130.33524,53.938652,11.236295,2.432853,1.7475181,0.11364561,0.46436598,3
587725551200895094,132.64434,55.539743,6.4084367,0.91783543,2.4416614,0.90611108,0.26816372,7
587725551210790997,174.70805,66.937983,16.337266,2.9596748,3.3173659,1.6568046,0.50224416,4
587725551217148067,210.66771,65.010206,10.693459,2.6679102,2.2351563,0.9641251,0.61353972,5
587725551731736722,119.1682,44.869809,12.532183,2.3646227,3.3266368,1.0806489,0.4643987,5
587725551731736880,119.18217,44.856713,16.069587,4.4108172,3.8556272,1.5395525,0.66301901,4
587725551732326683,120.17149,46.04712,14.030057,3.4175411,5.5505863,3.2669666,0.74356186,5
587725551738421253,134.19387,56.786747,6.7654412,0.74072552,1.5550243,0.44486752,0.58940202,5
587725551738683429,134.88973,57.3419,11.374615,1.7261982,2.5368626,1.3608093,0.64917155,5
587725552269459549,120.19921,46.690485,5.2875971,0.70251072,0.95924782,0.43629518,0.50824554,5
587725552273850515,129.55017,54.759003,9.4606081,0.92970372,2.3171489,0.87043436,0.45275051,5
587725552275423294,134.00808,57.390958,12.31185,2.37682,2.9444067,0.90284906,0.49036261,5
