Target	Best MR	Min MR	Max MR	r_min (kpc)	Min r_min (kpc)	Max r_min (kpc)	t_min (Myr)	Min t_min (Myr)	Max t_min (Myr)	ecc	Min ecc	Max ecc	beta	Min beta	Max beta
Arp 239	4.957 +- 1.582	0.314	11.597	4.592 +- 0.708	0.138	129.854	131.654 +- 47.964	0.000	8652.778	0.119 +- 0.071	0.000	118.606	5.899 +- 5.295	0.009	3637.425
Arp 199	1.569 +- 0.391	0.177	6.620	12.080 +- 2.682	0.140	141.443	3.465 +- 8.720	0.000	8595.613	7.365 +- 2.416	0.005	244.303	0.257 +- 0.621	0.002	2238.622
Arp 57	1.441 +- 0.252	0.382	5.886	14.738 +- 2.852	0.648	231.592	289.292 +- 42.933	0.000	8654.510	4.378 +- 1.513	0.008	182.603	0.683 +- 0.143	0.002	337.144
Pair 18	0.395 +- 0.273	0.204	6.945	24.142 +- 4.360	0.223	325.138	263.308 +- 73.111	0.000	8657.975	0.748 +- 0.318	0.001	394.143	0.665 +- 0.425	0.002	2593.574
Arp 247	2.069 +- 0.700	0.154	7.558	6.605 +- 5.446	0.147	95.170	320.473 +- 128.951	0.000	8657.975	0.413 +- 0.230	0.001	780.897	3.025 +- 5.967	0.002	3912.572
Arp 241	0.677 +- 0.244	0.130	28.202	7.389 +- 1.926	0.064	150.308	329.135 +- 121.723	0.000	8637.188	0.219 +- 0.048	0.001	328.179	2.049 +- 2.282	0.002	17007.528
Arp 313	1.887 +- 1.087	0.150	6.748	17.512 +- 3.274	0.226	127.950	109.134 +- 37.686	0.000	8602.542	6.253 +- 3.008	0.002	1065.720	0.261 +- 0.256	0.001	2176.819
Arp 107	1.353 +- 0.474	0.167	21.220	6.741 +- 5.656	0.203	201.900	420.946 +- 86.802	0.000	8657.975	0.400 +- 0.246	0.001	732.706	3.651 +- 1.185	0.001	2552.681
Arp 294	0.648 +- 0.220	0.146	4.625	62.351 +- 18.874	0.231	142.814	119.528 +- 56.493	0.000	8656.243	1.491 +- 2.354	0.001	325.053	0.078 +- 0.136	0.003	1459.349
Arp 172	1.400 +- 0.343	0.103	10.923	2.146 +- 0.519	0.111	148.919	155.906 +- 19.514	0.000	8656.243	0.523 +- 0.150	0.001	151.476	37.757 +- 8.052	0.013	8819.703
