ID	SDSSID	PRI_DR7_ID	PRI_DR8_ID	SEC_DR7_ID	SEC_DR8_ID	PRI_DR7_U	PRI_DR7_G	PRI_DR7_R	PRI_DR7_I	PRI_DR7_Z	PRI_DR7_SPECZ	PRI_DR7_PHOTOZ	PRI_DR7_PHOTOZ2	PRI_DR8_U	PRI_DR8_G	PRI_DR8_R	PRI_DR8_I	PRI_DR8_Z	PRI_DR8_SPECZ	PRI_DR8_PHOTOZ	PRI_DR8_PHOTOZ2	SEC_DR7_U	SEC_DR7_G	SEC_DR7_R	SEC_DR7_I	SEC_DR7_Z	SEC_DR7_SPECZ	SEC_DR7_PHOTOZ	SEC_DR7_PHOTOZ2	SEC_DR8_U	SEC_DR8_G	SEC_DR8_R	SEC_DR8_I	SEC_DR8_Z	SEC_DR8_SPECZ	SEC_DR8_PHOTOZ	SEC_DR8_PHOTOZ2
15	587735665840881790	587735665840881790	1237661387065786478	587735665840881787	12376613870657864915	16.124447	14.914241	14.111745	14.153663	14.119747	0.025219	0.087585	0.0	15.862601	14.252408	13.396467	12.956633	12.604673	0.025972	0.102522	0.0	19.466042	19.207226	19.110281	19.325569	19.456421	0.0	0.082286	0.0	16.56148	15.445755	15.314425	15.022178	15.543504	0.0	0.0	0.0
16	587736941981466667	587736941981466667	1237662663206371362	587736941981466675	12376626632063713636	15.586268	13.925391	13.237638	12.879233	12.654833	0.0102	0.050965	0.0	15.605797	13.91747	13.233258	12.863402	12.649244	0.010153	0.064269	0.0	21.897596	21.270029	20.915644	20.686659	21.415682	0.0	0.094683	0.0	15.466149	14.131516	13.54175	13.207605	12.984042	0.0	0.059305	0.0
17	587738569246376675	587738569246441506	1237664290471346192	587738569246441639	12376642904713463847	21.421347	22.47665	22.828367	22.508663	19.78619	0.0	-9999.0	0.0	17.183832	15.35664	14.496517	14.108626	13.790012	0.060498	0.07272	0.0	20.030691	20.956747	21.687119	24.301962	22.791	0.0	0.029257	0.0	18.92573	21.018217	24.113605	22.355087	22.515427	0.0	0.383273	0.0
18	587738569249390718	587738569249390719	1237664290474295417	587738569249390718	12376642904742954168	19.110933	17.437716	16.592001	16.202702	15.890663	0.082454	0.088014	0.0	19.101965	17.43515	16.595253	16.20435	15.891308	0.082336	0.089276	0.0	18.932055	17.026325	16.049084	15.637467	15.305023	0.081822	0.113183	0.0	18.92803	17.021206	16.050976	15.639952	15.306769	0.081781	0.109053	0.0
19	587739153356095531	587739153356095530		587739153356095531	12376738091939923539	15.314012	14.241016	13.805968	13.59832	13.392646	0.0	0.030421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.400037	14.605642	14.246948	14.103	13.880852	0.018117	0.025579	0.0	15.425096	14.638749	14.216826	14.075249	13.925278	0.018034	0.068755	0.0
20	587739407868690486	587739407868690483	1237665129093595180	587739407868690484	12376651290935951810	17.098509	16.297421	15.868218	15.58097	15.321517	0.0	0.074616	0.0	16.665836	15.639021	15.146992	14.840049	14.635503	0.034724	0.088141	0.0	16.310835	15.059872	14.464148	14.080178	13.822168	0.0	0.075143	0.0	16.493597	15.260009	14.654955	14.26493	13.982121	0.0	0.082316	0.0
21	587739505541578866	587739505541578866	1237665226766483567	587739505541644294	12376652267665490121	14.852514	13.457146	12.693955	12.308135	11.981498	0.010304	0.1065	0.0	15.03659	13.514046	12.617785	12.176391	11.874507	0.010279	0.139614	0.0	13.646297	12.927128	12.600282	12.484016	12.347257	0.011099	0.017703	0.0	14.442413	13.571485	13.210091	13.094641	12.997907	0.011085	0.02456	0.0
22	587739646743412797	587739646743412797	1237665367968317503	587739646743412796	12376653679683175022	16.900358	15.126359	14.36633	13.978331	13.668118	0.03451	0.044906	0.0	16.567635	14.772716	14.054545	13.689829	13.417808	0.034598	0.059619	0.0	17.071901	15.163998	14.327667	13.946895	13.658986	0.034867	0.060686	0.0	16.745478	14.924084	14.12323	13.739941	13.447105	0.034852	0.047632	0.0
23	587739647284805725	587739647284805725	1237665368509710424	587739647284805726		16.681629	15.389653	14.530474	14.262511	13.955145	0.0	0.128652	0.0	14.847961	13.204932	12.332354	11.962172	11.629188	0.0	0.101951	0.0	15.302299	13.575264	12.68563	12.250041	11.945134	0.0	0.098329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	587739707420967061	587739707420967061		587739707420967062	12376654286458717154	16.401323	14.560671	13.759185	13.368824	13.023149	0.034178	0.050974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.762035	15.652161	14.734931	14.268366	13.835633	0.034001	0.081429	0.0	17.315054	15.397403	14.469342	14.021626	13.684829	0.033984	0.084836	0.0
25	587739721376202860	587739721376202860	1237665442601107573	587739721376202859	12376654426011075725	16.750854	14.95959	14.109334	13.606606	13.231113	0.0	0.070161	0.0	18.252998	15.641011	14.551563	13.898797	13.455699	0.0	0.145564	0.0	15.598336	14.334764	13.827614	13.517765	13.334228	0.032746	0.067527	0.0	15.962706	14.814004	14.299191	13.969834	13.776551	0.032691	0.080937	0.0
26	587739721900163101	587739721900163118	1237665443125067852	587739721900163112	12376654431250678496	16.741596	15.745215	15.027555	14.591445	14.277699	0.0	0.144559	0.0	16.132786	14.628552	13.834594	13.345651	12.938022	0.021864	0.05347	0.0	21.596054	23.02083	20.908762	25.890623	26.895382	0.0	0.271109	0.0	15.906043	14.316207	13.478586	13.084243	12.73066	0.021799	0.105506	0.0
